"device_id";"NumberOfRecords";"timestamp"
"11";"167";"2025-02-11 11:15:02.487"
"12";"348";"2025-02-11 11:15:02.487"
"13";"227";"2025-02-11 11:15:02.487"
"14";"1866";"2025-02-11 11:15:02.487"
"15";"234";"2025-02-11 11:15:02.487"
"16";"0";"2025-02-11 11:15:02.487"
"17";"0";"2025-02-11 11:15:02.487"
"18";"128";"2025-02-11 11:15:02.487"
"19";"145";"2025-02-11 11:15:02.487"
"20";"250";"2025-02-11 11:15:02.487"
"21";"0";"2025-02-11 11:15:02.487"
"22";"0";"2025-02-11 11:15:02.487"
"23";"257";"2025-02-11 11:15:02.487"
"24";"0";"2025-02-11 11:15:02.487"
"25";"0";"2025-02-11 11:15:02.487"
"26";"0";"2025-02-11 11:15:02.487"
"27";"0";"2025-02-11 11:15:02.487"
"28";"0";"2025-02-11 11:15:02.487"
"29";"0";"2025-02-11 11:15:02.487"
"30";"0";"2025-02-11 11:15:02.487"
"31";"0";"2025-02-11 11:15:02.487"
"32";"0";"2025-02-11 11:15:02.487"
"33";"191";"2025-02-11 11:15:02.487"
"34";"204";"2025-02-11 11:15:02.487"
"35";"0";"2025-02-11 11:15:02.487"
"36";"0";"2025-02-11 11:15:02.487"
"37";"194";"2025-02-11 11:15:02.487"
"38";"0";"2025-02-11 11:15:02.487"
"39";"0";"2025-02-11 11:15:02.487"
"40";"275";"2025-02-11 11:15:02.487"
"41";"0";"2025-02-11 11:15:02.487"
"42";"0";"2025-02-11 11:15:02.487"
"43";"0";"2025-02-11 11:15:02.487"
"44";"242";"2025-02-11 11:15:02.487"
"45";"175";"2025-02-11 11:15:02.487"
"46";"0";"2025-02-11 11:15:02.487"
"47";"273";"2025-02-11 11:15:02.487"
"48";"0";"2025-02-11 11:15:02.487"
"49";"0";"2025-02-11 11:15:02.487"
"50";"253";"2025-02-11 11:15:02.487"
"51";"168";"2025-02-11 11:15:02.487"
"52";"0";"2025-02-11 11:15:02.487"
"53";"0";"2025-02-11 11:15:02.487"
"54";"0";"2025-02-11 11:15:02.487"
"55";"50";"2025-02-11 11:15:02.487"
"56";"0";"2025-02-11 11:15:02.487"
"57";"0";"2025-02-11 11:15:02.487"
"58";"0";"2025-02-11 11:15:02.487"
"59";"0";"2025-02-11 11:15:02.487"
"60";"0";"2025-02-11 11:15:02.487"
"61";"0";"2025-02-11 11:15:02.487"
"62";"0";"2025-02-11 11:15:02.487"
"63";"0";"2025-02-11 11:15:02.487"
"64";"0";"2025-02-11 11:15:02.487"
"65";"0";"2025-02-11 11:15:02.487"
"66";"0";"2025-02-11 11:15:02.487"
"67";"0";"2025-02-11 11:15:02.487"
"68";"0";"2025-02-11 11:15:02.487"
"69";"0";"2025-02-11 11:15:02.487"
"70";"0";"2025-02-11 11:15:02.487"
"71";"0";"2025-02-11 11:15:02.487"
"72";"224";"2025-02-11 11:15:02.487"
"73";"0";"2025-02-11 11:15:02.487"
"74";"86";"2025-02-11 11:15:02.487"
"75";"0";"2025-02-11 11:15:02.487"
"76";"0";"2025-02-11 11:15:02.487"
"77";"0";"2025-02-11 11:15:02.487"
"78";"0";"2025-02-11 11:15:02.487"
"79";"0";"2025-02-11 11:15:02.487"
"80";"0";"2025-02-11 11:15:02.487"
"93";"0";"2025-02-11 11:15:02.487"
